Rahul Sud


IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
3, FAST, FREAK, 1817, 0.000476762, 0.0170548, 94, 0.000136545
4, FAST, FREAK, 1793, 0.000479211, 0.0172334, 99, 0.000130969
5, FAST, FREAK, 1796, 0.000474321, 0.0171256, 88, 0.000305989
6, FAST, FREAK, 1788, 0.000476892, 0.0173091, 99, 0.000135926
7, FAST, FREAK, 1695, 0.000479303, 0.0172454, 104, 0.000114149
8, FAST, FREAK, 1749, 0.000482022, 0.0170534, 99, 0.000112123
9, FAST, FREAK, 1770, 0.000478644, 0.0170388, 103, 0.000127875

0, BRISK, BRISK, 2757, 0.0266573, 0.00182248, 513595792, 6.95296e-310
1, BRISK, BRISK, 2777, 0.0262534, 0.00193848, 171, 0.000191976
2, BRISK, BRISK, 2741, 0.0254812, 0.00195037, 176, 0.000237193
3, BRISK, BRISK, 2735, 0.0256386, 0.00192416, 157, 0.000286157
4, BRISK, BRISK, 2757, 0.026132, 0.00204359, 176, 0.000229198
5, BRISK, BRISK, 2695, 0.0259932, 0.00195259, 174, 0.00026089
6, BRISK, BRISK, 2715, 0.0260551, 0.00200028, 188, 0.00023869
7, BRISK, BRISK, 2628, 0.0254857, 0.00189212, 173, 0.000263919
8, BRISK, BRISK, 2639, 0.0257284, 0.00190705, 171, 0.000366081
9, BRISK, BRISK, 2672, 0.0257676, 0.00181209, 184, 0.000216337

0, BRISK, BRIEF, 2757, 0.0258262, 0.000541748, 513595792, 6.95296e-310
1, BRISK, BRIEF, 2777, 0.0259046, 0.000639154, 178, 0.000237696
2, BRISK, BRIEF, 2741, 0.0260361, 0.000580939, 205, 0.000213229
3, BRISK, BRIEF, 2735, 0.025519, 0.000605337, 185, 0.000202292
4, BRISK, BRIEF, 2757, 0.0256842, 0.000588068, 179, 0.000227846
5, BRISK, BRIEF, 2695, 0.025634, 0.000569412, 183, 0.000222733
6, BRISK, BRIEF, 2715, 0.0253989, 0.000580053, 195, 0.000225865
7, BRISK, BRIEF, 2628, 0.0252982, 0.00057467, 207, 0.000221154
8, BRISK, BRIEF, 2639, 0.0259738, 0.000611614, 189, 0.000203588
9, BRISK, BRIEF, 2672, 0.0258201, 0.000535966, 183, 0.00018371

0, BRISK, ORB, 2757, 0.0257019, 0.00647453, 513595792, 6.95296e-310
1, BRISK, ORB, 2777, 0.0258569, 0.00645349, 160, 0.000202637
2, BRISK, ORB, 2741, 0.0255503, 0.00660906, 171, 0.000253007
3, BRISK, ORB, 2735, 0.0254813, 0.00652651, 157, 0.000222046
4, BRISK, ORB, 2757, 0.0255594, 0.00651774, 170, 0.00023563
